GL_Account_Code,Description,Total_Balance,Entry_Line_Date,Credit_Amount,Running_Balance,gl_account_code,gl_account_description,gl_supplier_key,gl_credit_amount,gl_entry_line_date,gl_entry_period_month
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,2846.35,47580.17,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2846.35,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,600,48180.17,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,600.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,190,48370.17,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,190.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1733.48,50103.65,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1733.48,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,5249.61,55353.26,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,5249.61,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,560,55913.26,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,560.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,885,56798.26,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,885.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,540,57338.26,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,540.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,13295.87,70634.13,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,13295.87,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,160,70794.13,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,160.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,495,71289.13,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,495.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1480,72769.13,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1480.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1139.64,73908.77,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1139.64,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1570,75478.77,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1570.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1787.24,77266.01,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1787.24,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,3976.98,81242.99,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,3976.98,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,1696.6,82939.59,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1696.6,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,2567.41,85507,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2567.41,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,15,85522,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,15.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,249.91,85771.91,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,249.91,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-05-01 00:00:00,600,86371.91,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,600.0,2026-01-05,2026-01
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,885,87256.91,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,885.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,150,87406.91,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,150.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,854.73,88261.64,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,854.73,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,379.55,88641.19,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,379.55,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,11362.8,100003.99,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,11362.8,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,4879.8,104883.79,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,4879.8,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,439.82,105323.61,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,439.82,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,800,106123.61,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,800.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,2553.2,108676.81,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2553.2,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,650,109326.81,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,650.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,560,109886.81,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,560.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,2324.28,112211.09,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2324.28,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,885,113096.09,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,885.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,960,114056.09,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,960.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,1975.38,116031.47,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1975.38,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,810,116841.47,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,810.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,23765.13,140606.6,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,23765.13,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,4948.41,145555.01,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,4948.41,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,2275,147830.01,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2275.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,160,147990.01,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,160.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,1400.92,149390.93,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1400.92,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,210,149600.93,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,210.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-06-22 00:00:00,250,149850.93,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,250.0,,Unknown
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,860,150710.93,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,860.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,150,150860.93,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,150.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,4082.73,154943.66,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,4082.73,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,160,155103.66,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,160.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,1139.64,156243.3,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1139.64,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,712.24,156955.54,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,712.24,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,1080,158035.54,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1080.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,5805.14,163840.68,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,5805.14,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,221.5,164062.18,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,221.5,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,6082.09,170144.27,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,6082.09,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,510,170654.27,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,510.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,3250,173904.27,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,3250.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,4070.89,177975.16,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,4070.89,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,11580,189555.16,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,11580.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,560,190115.16,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,560.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,2531.76,192646.92,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2531.76,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,1780,194426.92,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1780.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,255,194681.92,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,255.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,315,194996.92,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,315.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,8862.56,203859.48,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,8862.56,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,749.73,204609.21,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,749.73,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,160,204769.21,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,160.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,675,205444.21,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,675.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,200,205644.21,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,200.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,3804.8,209449.01,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,3804.8,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,2815,212264.01,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2815.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,590,212854.01,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,590.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,1800,214654.01,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1800.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,5697.36,220351.37,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,5697.36,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,344.34,220695.71,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,344.34,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,510,221205.71,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,510.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,160,221365.71,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,160.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,7803.94,229169.65,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,7803.94,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,160,229329.65,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,160.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,1510.62,230840.27,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1510.62,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,499.82,231340.09,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,499.82,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,4521.37,235861.46,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,4521.37,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,1550.5,237411.96,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1550.5,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,560,237971.96,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,560.0,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,2849.1,240821.06,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,2849.1,2026-03-07,2026-03
01-85001,Supplier13 E071 Claimbacks,242784.06,2026-07-03 00:00:00,1963,242784.06,01-85001,Supplier13 E071 Claimbacks,SUPPLIER13,1963.0,2026-03-07,2026-03
01-85002,Supplier2 E005 Claimbacks,6240,2026-02-25 00:00:00,6240,6240,01-85002,Supplier2 E005 Claimbacks,SUPPLIER2,6240.0,,Unknown
01-85007,Supplier9 E022 Claimbacks,5774.89,2026-02-09 00:00:00,3908.49,3908.49,01-85007,Supplier9 E022 Claimbacks,SUPPLIER9,3908.49,2026-09-02,2026-09
01-85007,Supplier9 E022 Claimbacks,5774.89,2026-05-06 00:00:00,339,4247.49,01-85007,Supplier9 E022 Claimbacks,SUPPLIER9,339.0,2026-06-05,2026-06
01-85007,Supplier9 E022 Claimbacks,5774.89,2026-05-27 00:00:00,582.4,4829.89,01-85007,Supplier9 E022 Claimbacks,SUPPLIER9,582.4,,Unknown
01-85007,Supplier9 E022 Claimbacks,5774.89,2026-06-04 00:00:00,317.5,5147.39,01-85007,Supplier9 E022 Claimbacks,SUPPLIER9,317.5,2026-04-06,2026-04
01-85007,Supplier9 E022 Claimbacks,5774.89,2026-07-10 00:00:00,627.5,5774.89,01-85007,Supplier9 E022 Claimbacks,SUPPLIER9,627.5,2026-10-07,2026-10
01-85017,Supplier3 E055 Claimbacks,5550,2026-03-17 00:00:00,595,595,01-85017,Supplier3 E055 Claimbacks,SUPPLIER3,595.0,,Unknown
01-85017,Supplier3 E055 Claimbacks,5550,2026-04-10 00:00:00,990,1585,01-85017,Supplier3 E055 Claimbacks,SUPPLIER3,990.0,2026-10-04,2026-10
01-85017,Supplier3 E055 Claimbacks,5550,2026-05-13 00:00:00,2195,3780,01-85017,Supplier3 E055 Claimbacks,SUPPLIER3,2195.0,,Unknown
01-85017,Supplier3 E055 Claimbacks,5550,2026-07-14 00:00:00,1770,5550,01-85017,Supplier3 E055 Claimbacks,SUPPLIER3,1770.0,,Unknown
01-85021,Supplier19 E070 Claimbacks,9124.28,2026-04-20 00:00:00,7408.35,7408.35,01-85021,Supplier19 E070 Claimbacks,SUPPLIER19,7408.35,,Unknown
01-85021,Supplier19 E070 Claimbacks,9124.28,2026-04-20 00:00:00,511.05,7919.4,01-85021,Supplier19 E070 Claimbacks,SUPPLIER19,511.05,,Unknown
01-85021,Supplier19 E070 Claimbacks,9124.28,2026-04-20 00:00:00,852.75,8772.15,01-85021,Supplier19 E070 Claimbacks,SUPPLIER19,852.75,,Unknown
01-85021,Supplier19 E070 Claimbacks,9124.28,2026-04-20 00:00:00,352.13,9124.28,01-85021,Supplier19 E070 Claimbacks,SUPPLIER19,352.13,,Unknown
01-85036,Supplier8 E175 Claimbacks,4782.68,2026-04-23 00:00:00,2323.37,2323.37,01-85036,Supplier8 E175 Claimbacks,SUPPLIER8,2323.37,,Unknown
01-85036,Supplier8 E175 Claimbacks,4782.68,2026-06-04 00:00:00,2459.31,4782.68,01-85036,Supplier8 E175 Claimbacks,SUPPLIER8,2459.31,2026-04-06,2026-04
01-85046,Supplier10 E234 Claimbacks,925,2026-04-08 00:00:00,150,150,01-85046,Supplier10 E234 Claimbacks,SUPPLIER10,150.0,2026-08-04,2026-08
01-85046,Supplier10 E234 Claimbacks,925,2026-04-29 00:00:00,60,210,01-85046,Supplier10 E234 Claimbacks,SUPPLIER10,60.0,,Unknown
01-85046,Supplier10 E234 Claimbacks,925,2026-05-28 00:00:00,75,285,01-85046,Supplier10 E234 Claimbacks,SUPPLIER10,75.0,,Unknown
01-85046,Supplier10 E234 Claimbacks,925,2026-05-28 00:00:00,150,435,01-85046,Supplier10 E234 Claimbacks,SUPPLIER10,150.0,,Unknown
01-85046,Supplier10 E234 Claimbacks,925,2026-07-16 00:00:00,150,585,01-85046,Supplier10 E234 Claimbacks,SUPPLIER10,150.0,,Unknown
01-85046,Supplier10 E234 Claimbacks,925,2026-07-16 00:00:00,160,745,01-85046,Supplier10 E234 Claimbacks,SUPPLIER10,160.0,,Unknown
01-85046,Supplier10 E234 Claimbacks,925,2026-07-16 00:00:00,150,895,01-85046,Supplier10 E234 Claimbacks,SUPPLIER10,150.0,,Unknown
01-85046,Supplier10 E234 Claimbacks,925,2026-07-16 00:00:00,30,925,01-85046,Supplier10 E234 Claimbacks,SUPPLIER10,30.0,,Unknown
01-85056,Supplier17 E269A Claimbacks,576,2026-06-17 00:00:00,576,576,01-85056,Supplier17 E269A Claimbacks,SUPPLIER17,576.0,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-02-24 00:00:00,2138.53,2138.53,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,2138.53,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-02-24 00:00:00,4106.58,6245.11,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,4106.58,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-03-19 00:00:00,5889.62,12134.73,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,5889.62,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-03-19 00:00:00,2572.04,14706.77,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,2572.04,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-04-30 00:00:00,2861.05,17567.82,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,2861.05,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-04-30 00:00:00,9370.74,26938.56,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,9370.74,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-05-20 00:00:00,2733.56,29672.12,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,2733.56,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-05-20 00:00:00,4977.01,34649.13,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,4977.01,,Unknown
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-06-10 00:00:00,1824.73,36473.86,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,1824.73,2026-10-06,2026-10
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-06-10 00:00:00,7838.16,44312.02,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,7838.16,2026-10-06,2026-10
01-85079,Supplier18 E555 Claimbacks,46476.48,2026-07-22 00:00:00,2164.46,46476.48,01-85079,Supplier18 E555 Claimbacks,SUPPLIER18,2164.46,,Unknown
01-85115,Supplier20 E948 Claimbacks,3431.79,2026-02-24 00:00:00,86.65,86.65,01-85115,Supplier20 E948 Claimbacks,SUPPLIER20,86.65,,Unknown
01-85115,Supplier20 E948 Claimbacks,3431.79,2026-04-07 00:00:00,76.22,162.87,01-85115,Supplier20 E948 Claimbacks,SUPPLIER20,76.22,2026-07-04,2026-07
01-85115,Supplier20 E948 Claimbacks,3431.79,2026-05-21 00:00:00,58.37,221.24,01-85115,Supplier20 E948 Claimbacks,SUPPLIER20,58.37,,Unknown
01-85115,Supplier20 E948 Claimbacks,3431.79,2026-05-27 00:00:00,115.75,336.99,01-85115,Supplier20 E948 Claimbacks,SUPPLIER20,115.75,,Unknown
01-85115,Supplier20 E948 Claimbacks,3431.79,2026-06-26 00:00:00,3094.8,3431.79,01-85115,Supplier20 E948 Claimbacks,SUPPLIER20,3094.8,,Unknown
01-85123,Supplier11 L129 Claimbacks,85,2026-03-18 00:00:00,17,17,01-85123,Supplier11 L129 Claimbacks,SUPPLIER11,17.0,,Unknown
01-85123,Supplier11 L129 Claimbacks,85,2026-05-22 00:00:00,68,85,01-85123,Supplier11 L129 Claimbacks,SUPPLIER11,68.0,,Unknown
01-85137,Supplier14 L810 Claimbacks,9328.19,2026-02-20 00:00:00,1371.88,1371.88,01-85137,Supplier14 L810 Claimbacks,SUPPLIER14,1371.88,,Unknown
01-85137,Supplier14 L810 Claimbacks,9328.19,2026-03-20 00:00:00,2585.4,3957.28,01-85137,Supplier14 L810 Claimbacks,SUPPLIER14,2585.4,,Unknown
01-85137,Supplier14 L810 Claimbacks,9328.19,2026-06-19 00:00:00,107.42,4064.7,01-85137,Supplier14 L810 Claimbacks,SUPPLIER14,107.42,,Unknown
